bom_line_id,bom_id,material_id,quantity_required
1,BOM001,1,20
2,BOM001,32,30
3,BOM001,51,2
4,BOM001,53,1
5,BOM001,59,5
6,BOM002,1,8
7,BOM002,31,20
8,BOM002,51,1
9,BOM002,53,1
10,BOM002,59,3
11,BOM003,4,12
12,BOM003,34,6
13,BOM003,38,3
14,BOM003,51,2
15,BOM003,53,2
16,BOM004,4,5
17,BOM004,36,1
18,BOM004,38,1
19,BOM004,51,1
20,BOM004,59,2
21,BOM005,4,8
22,BOM005,36,2
23,BOM005,38,2
24,BOM005,51,1
25,BOM005,53,1
26,BOM006,1,10
27,BOM006,32,20
28,BOM006,38,2
29,BOM006,51,1
30,BOM006,53,1
31,BOM007,4,6
32,BOM007,31,24
33,BOM007,51,1
34,BOM007,53,1
35,BOM007,59,2
36,BOM008,1,25
37,BOM008,45,2
38,BOM008,51,3
39,BOM008,53,2
40,BOM008,59,6
41,BOM009,1,30
42,BOM009,45,2
43,BOM009,51,3
44,BOM009,53,2
45,BOM009,59,8
46,BOM010,4,3
47,BOM010,34,2
48,BOM010,38,2
49,BOM010,51,1
50,BOM010,53,1
51,BOM011,1,4
52,BOM011,31,12
53,BOM011,51,1
54,BOM011,53,1
55,BOM011,59,2
56,BOM012,4,15
57,BOM012,34,8
58,BOM012,38,6
59,BOM012,51,3
60,BOM012,53,2
61,BOM013,1,20
62,BOM013,32,40
63,BOM013,51,3
64,BOM013,53,2
65,BOM013,59,8
66,BOM014,13,20
67,BOM014,4,8
68,BOM014,34,4
69,BOM014,51,2
70,BOM014,53,1
71,BOM015,4,10
72,BOM015,36,2
73,BOM015,38,2
74,BOM015,51,2
75,BOM015,53,1
