item_id,item_code,item_name,category,uom,current_stock,reorder_level,purchase_rate,selling_price,preferred_supplier
66,FG001,Dining Table 6 Seater,Finished Good,Nos,25,5,0,18000,
67,FG002,Coffee Table,Finished Good,Nos,35,5,0,8000,
68,FG003,Wardrobe 3 Door,Finished Good,Nos,15,3,0,35000,
69,FG004,Study Table,Finished Good,Nos,20,5,0,12000,
70,FG005,TV Unit,Finished Good,Nos,12,3,0,22000,
71,FG006,Office Desk,Finished Good,Nos,18,5,0,16000,
72,FG007,Bookshelf,Finished Good,Nos,30,5,0,9000,
73,FG008,Queen Size Bed,Finished Good,Nos,10,2,0,28000,
74,FG009,King Size Bed,Finished Good,Nos,8,2,0,35000,
75,FG010,Shoe Rack,Finished Good,Nos,22,5,0,7000,
76,FG011,Side Table,Finished Good,Nos,40,10,0,5000,
77,FG012,Kitchen Cabinet,Finished Good,Nos,12,3,0,45000,
78,FG013,Reception Desk,Finished Good,Nos,6,2,0,55000,
79,FG014,Display Cabinet,Finished Good,Nos,9,2,0,30000,
80,FG015,Computer Workstation,Finished Good,Nos,14,3,0,20000,
