production_order_id,sales_order_id,product_id,quantity,start_date,status
WO001,SO001,76,4,2026-01-07,Completed
WO002,SO002,70,8,2026-02-27,Planned
WO003,SO003,77,4,2026-06-23,Completed
WO004,SO004,80,18,2026-01-23,Completed
WO005,SO005,72,2,2026-01-08,Planned
WO006,SO006,69,8,2026-05-10,Completed
WO007,SO007,66,18,2026-02-20,Completed
WO008,SO008,76,23,2026-05-20,In Progress
WO009,SO009,69,15,2026-05-31,In Progress
WO010,SO010,78,1,2026-02-10,Completed
WO011,SO011,72,11,2026-03-13,Planned
WO012,SO012,69,25,2026-03-28,Planned
WO013,SO013,67,13,2026-01-25,In Progress
WO014,SO014,79,12,2026-06-04,In Progress
WO015,SO015,78,2,2026-04-28,Completed
WO016,SO016,67,13,2026-01-21,Completed
WO017,SO017,70,21,2026-06-08,In Progress
WO018,SO018,75,7,2026-06-30,Planned
WO019,SO019,66,22,2026-02-28,In Progress
WO020,SO020,67,8,2026-01-26,In Progress
WO021,SO021,70,15,2026-06-12,In Progress
WO022,SO022,68,12,2026-04-01,Planned
WO023,SO023,76,9,2026-06-29,Completed
WO024,SO024,76,3,2026-06-05,Completed
WO025,SO025,68,18,2026-03-04,Planned
WO026,SO026,73,13,2026-03-11,Completed
WO027,SO027,77,18,2026-02-26,Completed
WO028,SO028,71,25,2026-01-15,Planned
WO029,SO029,79,2,2026-03-22,In Progress
WO030,SO030,70,3,2026-02-24,Completed
WO031,SO031,80,23,2026-03-22,Planned
WO032,SO032,76,16,2026-04-12,Completed
WO033,SO033,73,5,2026-03-09,Planned
WO034,SO034,69,24,2026-05-24,Completed
WO035,SO035,70,24,2026-05-30,In Progress
WO036,SO036,80,19,2026-04-13,In Progress
WO037,SO037,69,5,2026-05-11,In Progress
WO038,SO038,67,25,2026-01-13,Planned
WO039,SO039,68,21,2026-02-10,Completed
WO040,SO040,72,20,2026-01-17,In Progress
WO041,SO041,72,20,2026-04-30,Completed
WO042,SO042,70,18,2026-01-03,Completed
WO043,SO043,77,4,2026-06-24,Completed
WO044,SO044,78,9,2026-06-14,In Progress
WO045,SO045,67,10,2026-04-22,Planned
WO046,SO046,73,1,2026-03-09,Completed
WO047,SO047,78,6,2026-05-10,Planned
WO048,SO048,79,21,2026-03-18,Completed
WO049,SO049,74,20,2026-02-20,Planned
WO050,SO050,71,25,2026-02-11,Completed
WO051,SO051,78,17,2026-01-01,Completed
WO052,SO052,71,16,2026-01-05,Planned
WO053,SO053,80,12,2026-03-20,Planned
WO054,SO054,66,8,2026-05-26,Planned
WO055,SO055,67,24,2026-05-05,Planned
WO056,SO056,78,18,2026-02-02,Planned
WO057,SO057,76,16,2026-05-21,Planned
WO058,SO058,70,17,2026-06-05,In Progress
WO059,SO059,69,18,2026-06-26,Planned
WO060,SO060,77,10,2026-04-13,Completed
WO061,SO061,76,12,2026-04-23,Completed
WO062,SO062,73,4,2026-03-05,Planned
WO063,SO063,67,11,2026-01-06,Completed
WO064,SO064,74,8,2026-05-31,Planned
WO065,SO065,66,3,2026-06-11,Planned
WO066,SO066,69,3,2026-01-09,In Progress
WO067,SO067,67,17,2026-03-02,In Progress
WO068,SO068,76,16,2026-02-24,Completed
WO069,SO069,68,24,2026-05-27,Completed
WO070,SO070,73,8,2026-05-02,In Progress
WO071,SO071,69,4,2026-01-25,Completed
WO072,SO072,72,12,2026-04-19,In Progress
WO073,SO073,73,24,2026-01-14,Completed
WO074,SO074,76,21,2026-01-26,Planned
WO075,SO075,72,24,2026-03-28,Planned
WO076,SO076,69,7,2026-02-18,Completed
WO077,SO077,73,5,2026-04-19,Planned
WO078,SO078,70,15,2026-03-05,Planned
WO079,SO079,73,18,2026-01-26,Planned
WO080,SO080,76,18,2026-01-04,Planned
WO081,SO081,80,25,2026-03-02,Planned
WO082,SO082,72,16,2026-05-04,Planned
WO083,SO083,79,13,2026-01-16,Planned
WO084,SO084,72,1,2026-04-10,In Progress
WO085,SO085,80,15,2026-03-15,In Progress
WO086,SO086,77,24,2026-05-23,Completed
WO087,SO087,77,16,2026-02-09,Planned
WO088,SO088,70,7,2026-01-15,Completed
WO089,SO089,77,18,2026-01-16,Completed
WO090,SO090,71,2,2026-01-13,Completed
WO091,SO091,73,17,2026-05-16,Planned
WO092,SO092,66,17,2026-01-21,Planned
WO093,SO093,67,20,2026-01-18,Completed
WO094,SO094,79,8,2026-04-14,Planned
WO095,SO095,80,19,2026-03-05,Completed
WO096,SO096,75,2,2026-06-08,Planned
WO097,SO097,72,22,2026-05-30,Completed
WO098,SO098,74,11,2026-03-08,Planned
WO099,SO099,76,23,2026-03-22,Planned
WO100,SO100,70,13,2026-02-03,Completed
