purchase_order_line_id,purchase_order_id,material_id,quantity
1,PO001,15,35
2,PO001,36,260
3,PO002,29,152
4,PO002,14,702
5,PO003,12,614
6,PO003,55,42
7,PO004,4,105
8,PO004,28,248
9,PO005,65,626
10,PO005,4,584
11,PO006,26,743
12,PO006,54,235
13,PO007,58,613
14,PO007,36,838
15,PO008,1,787
16,PO008,21,724
17,PO009,55,358
18,PO009,36,169
19,PO010,28,990
20,PO010,44,114
21,PO011,12,399
22,PO011,13,377
23,PO012,45,628
24,PO012,34,836
25,PO013,6,757
26,PO013,59,559
27,PO014,16,954
28,PO014,49,90
29,PO015,38,859
30,PO015,47,601
31,PO016,25,731
32,PO016,9,56
33,PO017,30,801
34,PO017,38,91
35,PO018,30,897
36,PO018,13,399
37,PO019,36,474
38,PO019,47,176
39,PO020,48,373
40,PO020,27,696
41,PO021,35,728
42,PO021,10,633
43,PO022,22,556
44,PO022,32,177
45,PO023,60,398
46,PO023,35,957
47,PO024,29,711
48,PO024,42,873
49,PO025,8,244
50,PO025,5,834
51,PO026,41,420
52,PO026,35,77
53,PO027,28,945
54,PO027,41,227
55,PO028,64,415
56,PO028,59,156
57,PO029,34,152
58,PO029,32,772
59,PO030,34,774
60,PO030,55,929
61,PO031,52,380
62,PO031,29,151
63,PO032,64,103
64,PO032,7,891
65,PO033,15,166
66,PO033,21,821
67,PO034,55,620
68,PO034,9,404
69,PO035,49,620
70,PO035,60,551
71,PO036,33,576
72,PO036,2,706
73,PO037,15,708
74,PO037,35,797
75,PO038,44,124
76,PO038,38,455
77,PO039,21,474
78,PO039,1,986
79,PO040,34,522
80,PO040,23,529
81,PO041,14,901
82,PO041,39,871
83,PO042,65,633
84,PO042,26,166
85,PO043,48,790
86,PO043,21,562
87,PO044,1,623
88,PO044,42,510
89,PO045,3,124
90,PO045,47,909
91,PO046,40,255
92,PO046,8,256
93,PO047,11,97
94,PO047,63,845
95,PO048,9,788
96,PO048,17,141
97,PO049,61,979
98,PO049,22,281
99,PO050,55,997
100,PO050,28,961
