purchase_order_id,supplier_id,order_date,status
PO001,SUP002,2026-01-07,Closed
PO002,SUP005,2026-03-04,Open
PO003,SUP003,2026-01-27,Closed
PO004,SUP009,2026-01-23,Closed
PO005,SUP007,2026-01-09,Open
PO006,SUP002,2026-02-25,Open
PO007,SUP009,2026-06-04,Open
PO008,SUP009,2026-02-20,Closed
PO009,SUP009,2026-04-18,Open
PO010,SUP008,2026-05-31,Received
PO011,SUP001,2026-02-10,Closed
PO012,SUP007,2026-03-29,Received
PO013,SUP003,2026-02-25,Received
PO014,SUP002,2026-01-24,Received
PO015,SUP002,2026-04-02,Received
PO016,SUP010,2026-03-09,Open
PO017,SUP008,2026-05-18,Open
PO018,SUP007,2026-01-21,Closed
PO019,SUP005,2026-06-10,Closed
PO020,SUP006,2026-05-28,Open
PO021,SUP002,2026-01-12,Closed
PO022,SUP004,2026-03-16,Open
PO023,SUP004,2026-01-26,Received
PO024,SUP005,2026-04-27,Closed
PO025,SUP006,2026-02-11,Received
PO026,SUP006,2026-02-23,Closed
PO027,SUP005,2026-06-29,Closed
PO028,SUP002,2026-06-05,Closed
PO029,SUP003,2026-05-17,Closed
PO030,SUP004,2026-02-11,Received
PO031,SUP007,2026-03-11,Closed
PO032,SUP009,2026-02-26,Closed
PO033,SUP006,2026-01-15,Open
PO034,SUP001,2026-03-22,Received
PO035,SUP005,2026-01-17,Open
PO036,SUP010,2026-03-22,Open
PO037,SUP008,2026-04-12,Closed
PO038,SUP008,2026-02-06,Received
PO039,SUP003,2026-03-05,Closed
PO040,SUP009,2026-05-18,Received
PO041,SUP010,2026-04-20,Closed
PO042,SUP007,2026-04-03,Open
PO043,SUP003,2026-05-11,Received
PO044,SUP002,2026-01-13,Open
PO045,SUP003,2026-06-10,Open
PO046,SUP007,2026-06-02,Open
PO047,SUP007,2026-04-08,Closed
PO048,SUP008,2026-05-16,Received
PO049,SUP009,2026-01-03,Closed
PO050,SUP002,2026-06-24,Closed
