sales_order_line_id,sales_order_id,product_id,quantity
1,SO001,76,4
2,SO002,66,24
3,SO003,70,8
4,SO004,69,5
5,SO005,77,4
6,SO006,76,24
7,SO007,80,18
8,SO008,67,19
9,SO009,72,2
10,SO010,66,3
11,SO011,69,8
12,SO012,74,20
13,SO013,66,18
14,SO014,69,23
15,SO015,76,23
16,SO016,74,14
17,SO017,69,15
18,SO018,75,9
19,SO019,78,1
20,SO020,78,6
21,SO021,77,14
22,SO022,71,9
23,SO023,68,7
24,SO024,78,11
25,SO025,67,3
26,SO026,72,4
27,SO027,71,12
28,SO028,75,9
29,SO029,78,2
30,SO030,77,15
31,SO031,74,4
32,SO032,80,13
33,SO033,67,18
34,SO034,70,21
35,SO035,75,12
36,SO036,75,7
37,SO037,77,3
38,SO038,66,22
39,SO039,69,25
40,SO040,70,3
41,SO041,79,8
42,SO042,79,4
43,SO043,72,9
44,SO044,73,21
45,SO045,79,12
46,SO046,68,12
47,SO047,71,7
48,SO048,76,9
49,SO049,77,22
50,SO050,76,3
51,SO051,75,21
52,SO052,68,18
53,SO053,77,8
54,SO054,68,15
55,SO055,72,9
56,SO056,80,21
57,SO057,77,18
58,SO058,69,22
59,SO059,71,25
60,SO060,78,2
61,SO061,69,2
62,SO062,78,11
63,SO063,72,9
64,SO064,67,7
65,SO065,80,19
66,SO066,80,23
67,SO067,71,7
68,SO068,76,16
69,SO069,72,21
70,SO070,73,5
71,SO071,70,5
72,SO072,69,24
73,SO073,74,18
74,SO074,70,24
75,SO075,75,14
76,SO076,80,19
77,SO077,72,12
78,SO078,69,5
79,SO079,74,16
80,SO080,67,25
81,SO081,66,4
82,SO082,68,21
83,SO083,68,22
84,SO084,72,20
85,SO085,67,13
86,SO086,72,20
87,SO087,73,17
88,SO088,70,18
89,SO089,79,1
90,SO090,76,24
91,SO091,67,22
92,SO092,80,18
93,SO093,78,9
94,SO094,78,21
95,SO095,71,4
96,SO096,70,14
97,SO097,68,15
98,SO098,66,24
99,SO099,80,24
100,SO100,70,17
