sales_order_id,customer_id,order_date,status
SO001,CUST004,2026-01-07,Completed
SO002,CUST009,2026-03-04,Open
SO003,CUST005,2026-01-27,Completed
SO004,CUST018,2026-01-23,Completed
SO005,CUST014,2026-01-09,Open
SO006,CUST003,2026-02-25,Open
SO007,CUST017,2026-06-04,Open
SO008,CUST018,2026-02-20,Completed
SO009,CUST018,2026-04-18,Open
SO010,CUST015,2026-05-31,Planned
SO011,CUST001,2026-02-10,Completed
SO012,CUST014,2026-03-29,Planned
SO013,CUST005,2026-02-25,Planned
SO014,CUST004,2026-01-24,Planned
SO015,CUST004,2026-04-02,Planned
SO016,CUST020,2026-03-09,Open
SO017,CUST015,2026-05-18,Open
SO018,CUST013,2026-01-21,Completed
SO019,CUST010,2026-06-10,Completed
SO020,CUST012,2026-05-28,Open
SO021,CUST003,2026-01-12,Completed
SO022,CUST008,2026-03-16,Open
SO023,CUST008,2026-01-26,Planned
SO024,CUST009,2026-04-27,Completed
SO025,CUST012,2026-02-11,Planned
SO026,CUST012,2026-02-23,Completed
SO027,CUST009,2026-06-29,Completed
SO028,CUST003,2026-06-05,Completed
SO029,CUST006,2026-05-17,Completed
SO030,CUST008,2026-02-11,Planned
SO031,CUST013,2026-03-11,Completed
SO032,CUST018,2026-02-26,Completed
SO033,CUST011,2026-01-15,Open
SO034,CUST002,2026-03-22,Planned
SO035,CUST009,2026-01-17,Open
SO036,CUST019,2026-03-22,Open
SO037,CUST016,2026-04-12,Completed
SO038,CUST015,2026-02-06,Planned
SO039,CUST005,2026-03-05,Completed
SO040,CUST018,2026-05-18,Planned
SO041,CUST019,2026-04-20,Completed
SO042,CUST013,2026-04-03,Open
SO043,CUST005,2026-05-11,Planned
SO044,CUST003,2026-01-13,Open
SO045,CUST005,2026-06-10,Open
SO046,CUST014,2026-06-02,Open
SO047,CUST013,2026-04-08,Completed
SO048,CUST015,2026-05-16,Planned
SO049,CUST018,2026-01-03,Completed
SO050,CUST004,2026-06-24,Completed
SO051,CUST009,2026-06-14,Planned
SO052,CUST004,2026-03-17,Planned
SO053,CUST006,2026-04-27,Open
SO054,CUST009,2026-05-09,Open
SO055,CUST017,2026-01-28,Completed
SO056,CUST010,2026-06-13,Completed
SO057,CUST020,2026-02-20,Open
SO058,CUST012,2026-02-11,Completed
SO059,CUST017,2026-01-01,Completed
SO060,CUST011,2026-05-06,Open
SO061,CUST004,2026-04-03,Planned
SO062,CUST008,2026-01-15,Open
SO063,CUST019,2026-01-21,Open
SO064,CUST016,2026-01-18,Completed
SO065,CUST005,2026-02-02,Completed
SO066,CUST016,2026-05-21,Open
SO067,CUST009,2026-05-16,Completed
SO068,CUST014,2026-02-24,Completed
SO069,CUST007,2026-03-21,Planned
SO070,CUST012,2026-04-23,Completed
SO071,CUST015,2026-01-31,Open
SO072,CUST008,2026-01-17,Planned
SO073,CUST001,2026-05-31,Completed
SO074,CUST008,2026-05-31,Open
SO075,CUST001,2026-01-19,Completed
SO076,CUST002,2026-02-28,Open
SO077,CUST002,2026-03-26,Open
SO078,CUST017,2026-03-02,Planned
SO079,CUST016,2026-02-24,Completed
SO080,CUST005,2026-05-27,Completed
SO081,CUST016,2026-03-04,Planned
SO082,CUST014,2026-02-18,Open
SO083,CUST004,2026-06-18,Planned
SO084,CUST012,2026-04-19,Planned
SO085,CUST015,2026-01-14,Completed
SO086,CUST004,2026-01-16,Planned
SO087,CUST011,2026-01-28,Open
SO088,CUST007,2026-02-18,Completed
SO089,CUST015,2026-02-05,Planned
SO090,CUST006,2026-03-13,Planned
SO091,CUST008,2026-01-20,Planned
SO092,CUST018,2026-01-26,Open
SO093,CUST018,2026-01-04,Open
SO094,CUST008,2026-02-12,Planned
SO095,CUST016,2026-05-04,Open
SO096,CUST013,2026-01-16,Open
SO097,CUST013,2026-01-01,Planned
SO098,CUST009,2026-04-27,Planned
SO099,CUST014,2026-06-28,Completed
SO100,CUST018,2026-06-19,Completed
